year_month,tile_1,tile_10,tile_11,tile_12,tile_13,tile_14,tile_15,tile_16,tile_17,tile_18,tile_19,tile_2,tile_20,tile_21,tile_22,tile_23,tile_24,tile_25,tile_3,tile_4,tile_5,tile_6,tile_7,tile_8,tile_9
2026-01,0.00076192524,0.044097736,0.102341354,0.951234,0.0,0.0,0.0,0.014620375,0.4912107,0.0,3.2227952e-05,0.0005271096,0.0,0.07541842,0.01848659,0.0,0.0,0.0056099216,0.0,0.0,0.0,0.20393789,0.5143739,0.0,0.0
2026-02,0.00035354868,0.044062376,0.118237,1.2019817,0.0,0.0,0.0,0.016166203,0.5625365,0.0,0.0,0.0006351257,0.0,0.06442421,0.018048594,0.0008592028,0.0,0.0056099216,0.0,0.0,0.0,0.25781786,1.300417,0.0,0.0
2026-03,0.00016356818,0.044089254,0.10712828,1.1015497,0.0,0.0040324107,0.0,0.025192793,0.65176225,0.0,0.0,0.0006048201,0.0,0.06489089,0.017801505,0.0006403681,0.0,0.0056099216,0.0,0.0,0.0,0.27879566,1.0646174,0.0031183027,0.0026534926
2026-04,0.00021695811,0.0440967,0.09670058,0.6335027,0.0,0.0038701482,0.0,0.026439194,0.73762953,0.0,0.0,0.0005579762,0.0,0.07242563,0.017695375,0.0002044756,0.0,0.0056099216,0.0,0.0,0.0,0.28338382,0.48622414,0.009009166,0.00069042435
2026-05,0.0003918847,0.048863087,0.099204406,0.35162532,0.015243651,0.0,0.0002912899,0.021804985,0.8048065,0.038092885,0.0,0.00052495534,0.0,0.082515955,0.017620299,0.00015946198,0.0,0.0056099216,0.0,0.0,0.0,0.27516446,0.25309548,0.011785811,0.0027655684
2026-06,0.0005142279,0.083103366,0.14245339,0.41925,0.02293498,0.0,0.006308551,0.02297549,0.8492575,0.07895357,0.0,0.00049095904,0.0,0.091418244,0.01755872,7.997267e-05,0.0,0.0056099216,0.0008921325,0.0,0.0,0.2562115,0.29521087,0.010551576,0.011852726
2026-07,0.00047689304,0.10949701,0.20001358,0.788584,0.028873134,0.0,0.08417898,0.060027726,0.86972505,0.105078064,0.0,0.00044294144,0.0,0.097313136,0.017528687,0.0,0.0,0.0056099216,0.00017087534,0.0,0.0,0.2304461,0.90067124,0.0059812926,0.023865582
2026-08,0.00029521435,0.11546865,0.21306622,1.3086799,0.027623251,0.0,0.21699472,0.15300882,0.861299,0.107390836,0.0,0.00039661617,0.040685993,0.08773788,0.017556526,0.0,0.0,0.005606828,0.0,0.0,0.0,0.20459911,1.3063198,0.0,0.03021469
2026-09,7.601734e-05,0.09822856,0.17622209,1.3002557,0.019614834,0.01566619,0.237717,0.060410544,0.81637985,0.08532554,0.0,0.0003823476,0.09938246,0.0734714,0.01765403,0.0,0.0,0.0056099216,0.0,0.0,0.0,0.18587014,0.62231827,0.0,0.024312293
2026-10,0.0,0.06269313,0.11991869,0.90591705,0.011333212,0.042013437,0.092872664,0.03705644,0.73629177,0.04551514,0.0,0.0004115085,0.02405991,0.062442005,0.01780869,0.0,0.0,0.0056099216,0.0,0.0,0.0,0.17846364,0.2817874,0.0,0.011976454
2026-11,0.0,0.04408944,0.08645718,0.52042973,0.00716359,0.031033639,0.002858166,0.022145577,0.6412498,0.0,0.0,0.00046686293,0.0,0.05778008,0.017991487,0.0,0.0,0.0056099216,0.0,0.0,0.0,0.18156388,0.10114295,0.0,0.0013869544
2026-12,0.00027942844,0.044078533,0.09723239,0.6625085,0.0,0.0034982152,0.0,0.01502552,0.5506421,0.0,0.0,0.0005241153,0.0,0.060366075,0.018173395,0.0,0.0,0.0056099216,0.0,0.0,0.0,0.19216755,0.16872865,0.0,0.0
